student,title,type,status,final score
abbyjere,E03D19,EXAM,ASSIGNED,None
albettbu,E03D19,EXAM,REGISTERED,None
althease,E03D19,EXAM,ASSIGNED,None
aqualada,E03D19,EXAM,ASSIGNED,None
ariellem,E03D19,EXAM,ASSIGNED,None
arlethab,E03D19,EXAM,REGISTERED,None
arwynjac,E03D19,EXAM,ASSIGNED,None
ayakofuj,E03D19,EXAM,REGISTERED,None
barbafra,E03D19,EXAM,ASSIGNED,None
brittnib,E03D19,EXAM,REGISTERED,None
chongvir,E03D19,EXAM,ASSIGNED,None
cindalig,E03D19,EXAM,ASSIGNED,None
claudeco,E03D19,EXAM,ASSIGNED,None
colettac,E03D19,EXAM,ASSIGNED,None
connorla,E03D19,EXAM,ASSIGNED,None
coraleey,E03D19,EXAM,ASSIGNED,None
donaljac,E03D19,EXAM,REGISTERED,None
dougalmo,E03D19,EXAM,ASSIGNED,None
ellarias,E03D19,EXAM,REGISTERED,None
emelyaur,E03D19,EXAM,REGISTERED,None
eorlundw,E03D19,EXAM,ASSIGNED,None
flaviama,E03D19,EXAM,ASSIGNED,None
galbartt,E03D19,EXAM,ASSIGNED,None
goldenun,E03D19,EXAM,ASSIGNED,None
halistic,E03D19,EXAM,ASSIGNED,None
harlangu,E03D19,EXAM,ASSIGNED,None
hazraksa,E03D19,EXAM,REGISTERED,None
hettiewa,E03D19,EXAM,ASSIGNED,None
hizdahrs,E03D19,EXAM,REGISTERED,None
hoppered,E03D19,EXAM,ASSIGNED,None
illaoigl,E03D19,EXAM,REGISTERED,None
jameyadr,E03D19,EXAM,ASSIGNED,None
janaespy,E03D19,EXAM,ASSIGNED,None
jestwhis,E03D19,EXAM,REGISTERED,None
jettaduu,E03D19,EXAM,ASSIGNED,None
johniebl,E03D19,EXAM,ASSIGNED,None
johnieer,E03D19,EXAM,REGISTERED,None
karrieco,E03D19,EXAM,ASSIGNED,None
kathyblu,E03D19,EXAM,REGISTERED,None
leotasch,E03D19,EXAM,ASSIGNED,None
magobarb,E03D19,EXAM,REGISTERED,None
managiml,E03D19,EXAM,REGISTERED,None
martiank,E03D19,EXAM,ASSIGNED,None
marvinad,E03D19,EXAM,ASSIGNED,None
meadowsl,E03D19,EXAM,ASSIGNED,None
meralynl,E03D19,EXAM,ASSIGNED,None
micahann,E03D19,EXAM,ASSIGNED,None
mikkirub,E03D19,EXAM,ASSIGNED,None
